query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q016,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q016,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q016,pre_doc_top50,simple,weighted,35,33,29,0.8787878787878788,0.7435897435897436
Q016,pre_chunk_top50,simple,weighted,50,50,43,0.86,0.7543859649122807
Q016,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q016,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q016,pre_doc_top50,rrf,weighted,35,33,29,0.8787878787878788,0.7435897435897436
Q016,pre_chunk_top50,rrf,weighted,50,50,43,0.86,0.7543859649122807
Q016,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q016,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q017,pre_doc_top50,simple,rrf,38,38,38,1.0,1.0
Q017,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q017,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q017,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q017,pre_doc_top50,simple,weighted,38,35,34,0.9714285714285714,0.8717948717948718
Q017,pre_chunk_top50,simple,weighted,50,50,45,0.9,0.8181818181818182
Q017,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q017,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q017,pre_doc_top50,rrf,weighted,38,35,34,0.9714285714285714,0.8717948717948718
Q017,pre_chunk_top50,rrf,weighted,50,50,45,0.9,0.8181818181818182
Q017,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q017,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q018,pre_doc_top50,simple,rrf,34,35,33,0.9705882352941176,0.9166666666666666
Q018,pre_chunk_top50,simple,rrf,50,50,48,0.96,0.9230769230769231
Q018,final_doc_top5,simple,rrf,5,5,4,0.8,0.6666666666666666
Q018,final_doc_top10,simple,rrf,10,10,8,0.8,0.6666666666666666
Q018,pre_doc_top50,simple,weighted,34,35,33,0.9705882352941176,0.9166666666666666
Q018,pre_chunk_top50,simple,weighted,50,50,47,0.94,0.8867924528301887
Q018,final_doc_top5,simple,weighted,5,5,3,0.6,0.42857142857142855
Q018,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q018,pre_doc_top50,rrf,weighted,35,35,33,0.9428571428571428,0.8918918918918919
Q018,pre_chunk_top50,rrf,weighted,50,50,47,0.94,0.8867924528301887
Q018,final_doc_top5,rrf,weighted,5,5,3,0.6,0.42857142857142855
Q018,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q019,pre_doc_top50,simple,rrf,34,34,34,1.0,1.0
Q019,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q019,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q019,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q019,pre_doc_top50,simple,weighted,34,31,30,0.967741935483871,0.8571428571428571
Q019,pre_chunk_top50,simple,weighted,50,50,45,0.9,0.8181818181818182
Q019,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q019,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q019,pre_doc_top50,rrf,weighted,34,31,30,0.967741935483871,0.8571428571428571
Q019,pre_chunk_top50,rrf,weighted,50,50,45,0.9,0.8181818181818182
Q019,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q019,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q020,pre_doc_top50,simple,rrf,40,40,40,1.0,1.0
Q020,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q020,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q020,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q020,pre_doc_top50,simple,weighted,40,37,34,0.918918918918919,0.7906976744186046
Q020,pre_chunk_top50,simple,weighted,50,50,44,0.88,0.7857142857142857
Q020,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q020,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q020,pre_doc_top50,rrf,weighted,40,37,34,0.918918918918919,0.7906976744186046
Q020,pre_chunk_top50,rrf,weighted,50,50,44,0.88,0.7857142857142857
Q020,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q020,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q021,pre_doc_top50,simple,rrf,27,26,26,1.0,0.9629629629629629
