query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q014,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q014,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q014,pre_doc_top50,rrf,weighted,26,26,23,0.8846153846153846,0.7931034482758621
Q014,pre_chunk_top50,rrf,weighted,50,50,45,0.9,0.8181818181818182
Q014,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q014,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q015,pre_doc_top50,simple,rrf,22,22,22,1.0,1.0
Q015,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q015,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q015,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q015,pre_doc_top50,simple,weighted,22,24,22,1.0,0.9166666666666666
Q015,pre_chunk_top50,simple,weighted,50,50,47,0.94,0.8867924528301887
Q015,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q015,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q015,pre_doc_top50,rrf,weighted,22,24,22,1.0,0.9166666666666666
Q015,pre_chunk_top50,rrf,weighted,50,50,47,0.94,0.8867924528301887
Q015,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q015,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q016,pre_doc_top50,simple,rrf,28,28,28,1.0,1.0
Q016,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q016,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q016,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q016,pre_doc_top50,simple,weighted,28,27,23,0.8518518518518519,0.71875
Q016,pre_chunk_top50,simple,weighted,50,50,40,0.8,0.6666666666666666
Q016,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q016,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q016,pre_doc_top50,rrf,weighted,28,27,23,0.8518518518518519,0.71875
Q016,pre_chunk_top50,rrf,weighted,50,50,40,0.8,0.6666666666666666
Q016,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q016,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q017,pre_doc_top50,simple,rrf,24,24,24,1.0,1.0
Q017,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q017,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q017,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q017,pre_doc_top50,simple,weighted,24,27,21,0.875,0.7
Q017,pre_chunk_top50,simple,weighted,50,50,44,0.88,0.7857142857142857
Q017,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q017,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q017,pre_doc_top50,rrf,weighted,24,27,21,0.875,0.7
Q017,pre_chunk_top50,rrf,weighted,50,50,44,0.88,0.7857142857142857
Q017,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q017,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q018,pre_doc_top50,simple,rrf,28,28,28,1.0,1.0
Q018,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q018,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q018,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q018,pre_doc_top50,simple,weighted,28,31,26,0.9285714285714286,0.7878787878787878
Q018,pre_chunk_top50,simple,weighted,50,50,43,0.86,0.7543859649122807
Q018,final_doc_top5,simple,weighted,5,5,2,0.4,0.25
Q018,final_doc_top10,simple,weighted,10,10,6,0.6,0.42857142857142855
