record_id,source_file,title_abstract_token_len,full_token_len,exceeds_512_title_abstract,exceeds_512_full,estimated_chunks_title_abstract,estimated_chunks_full
pmc_001327,PMC000xxxxxx/PMC529254.xml,479,6630,False,True,2,21
pmc_001328,PMC000xxxxxx/PMC529255.xml,488,4800,False,True,2,15
pmc_001329,PMC000xxxxxx/PMC529256.xml,384,6165,False,True,1,20
pmc_001330,PMC000xxxxxx/PMC529257.xml,311,3836,False,True,1,12
pmc_001331,PMC000xxxxxx/PMC529258.xml,411,5875,False,True,2,19
pmc_001332,PMC000xxxxxx/PMC529259.xml,547,4532,True,True,2,14
pmc_001333,PMC000xxxxxx/PMC529260.xml,390,3499,False,True,1,11
pmc_001334,PMC000xxxxxx/PMC529261.xml,355,4409,False,True,1,14
pmc_001335,PMC000xxxxxx/PMC529262.xml,281,4536,False,True,1,14
pmc_001336,PMC000xxxxxx/PMC529263.xml,399,5051,False,True,1,16
pmc_001337,PMC000xxxxxx/PMC529264.xml,392,5715,False,True,1,18
pmc_001338,PMC000xxxxxx/PMC529265.xml,255,3514,False,True,1,11
pmc_001339,PMC000xxxxxx/PMC529266.xml,421,7442,False,True,2,24
pmc_001340,PMC000xxxxxx/PMC529267.xml,460,5810,False,True,2,18
pmc_001341,PMC000xxxxxx/PMC529268.xml,289,2301,False,True,1,7
pmc_001342,PMC000xxxxxx/PMC529269.xml,496,7653,False,True,2,24
pmc_001343,PMC000xxxxxx/PMC529270.xml,267,4091,False,True,1,13
pmc_001344,PMC000xxxxxx/PMC529271.xml,368,6288,False,True,1,20
pmc_001345,PMC000xxxxxx/PMC529272.xml,514,4007,True,True,2,13
pmc_001346,PMC000xxxxxx/PMC529273.xml,329,3824,False,True,1,12
pmc_001347,PMC000xxxxxx/PMC529274.xml,303,8145,False,True,1,26
pmc_001348,PMC000xxxxxx/PMC529297.xml,587,6687,True,True,2,21
pmc_001349,PMC000xxxxxx/PMC529298.xml,275,5244,False,True,1,17
pmc_001350,PMC000xxxxxx/PMC529299.xml,304,4193,False,True,1,13
pmc_001351,PMC000xxxxxx/PMC529300.xml,299,5411,False,True,1,17
pmc_001352,PMC000xxxxxx/PMC529301.xml,544,6216,True,True,2,20
pmc_001353,PMC000xxxxxx/PMC529302.xml,285,7998,False,True,1,25
pmc_001354,PMC000xxxxxx/PMC529303.xml,487,4252,False,True,2,14
pmc_001355,PMC000xxxxxx/PMC529304.xml,304,3431,False,True,1,11
pmc_001356,PMC000xxxxxx/PMC529305.xml,440,7090,False,True,2,22
pmc_001357,PMC000xxxxxx/PMC529306.xml,581,3503,True,True,2,11
pmc_001358,PMC000xxxxxx/PMC529307.xml,296,6107,False,True,1,19
pmc_001359,PMC000xxxxxx/PMC529308.xml,369,5269,False,True,1,17
pmc_001360,PMC000xxxxxx/PMC529309.xml,221,3260,False,True,1,10
pmc_001361,PMC000xxxxxx/PMC529310.xml,521,4867,True,True,2,15
pmc_001362,PMC000xxxxxx/PMC529311.xml,292,8126,False,True,1,26
pmc_001363,PMC000xxxxxx/PMC529313.xml,544,16147,True,True,2,51
pmc_001364,PMC000xxxxxx/PMC529314.xml,300,13028,False,True,1,41
pmc_001365,PMC000xxxxxx/PMC529315.xml,222,9331,False,True,1,29
pmc_001366,PMC000xxxxxx/PMC529316.xml,343,11749,False,True,1,37
pmc_001367,PMC000xxxxxx/PMC529317.xml,365,15895,False,True,1,50
pmc_001368,PMC000xxxxxx/PMC529318.xml,230,7914,False,True,1,25
pmc_001369,PMC000xxxxxx/PMC529319.xml,278,8048,False,True,1,25
pmc_001370,PMC000xxxxxx/PMC529320.xml,9,744,False,True,1,3
pmc_001371,PMC000xxxxxx/PMC529321.xml,9,885,False,True,1,3
pmc_001372,PMC000xxxxxx/PMC529322.xml,12,847,False,True,1,3
pmc_001373,PMC000xxxxxx/PMC529323.xml,12,719,False,True,1,2
pmc_001374,PMC000xxxxxx/PMC529324.xml,11,994,False,True,1,3
pmc_001375,PMC000xxxxxx/PMC529325.xml,11,762,False,True,1,3
pmc_001376,PMC000xxxxxx/PMC529419.xml,45,2025,False,True,1,7
pmc_001377,PMC000xxxxxx/PMC529420.xml,45,2901,False,True,1,9
pmc_001378,PMC000xxxxxx/PMC529421.xml,43,2682,False,True,1,9
pmc_001379,PMC000xxxxxx/PMC529422.xml,39,1621,False,True,1,5
pmc_001380,PMC000xxxxxx/PMC529423.xml,435,11119,False,True,2,35
pmc_001381,PMC000xxxxxx/PMC529424.xml,50,1857,False,True,1,6
pmc_001382,PMC000xxxxxx/PMC529425.xml,86,3054,False,True,1,10
pmc_001383,PMC000xxxxxx/PMC529426.xml,50,2618,False,True,1,8
pmc_001384,PMC000xxxxxx/PMC529427.xml,50,1433,False,True,1,5
pmc_001385,PMC000xxxxxx/PMC529428.xml,25,1904,False,True,1,6
pmc_001386,PMC000xxxxxx/PMC529429.xml,38,2974,False,True,1,10
pmc_001387,PMC000xxxxxx/PMC529430.xml,292,7514,False,True,1,24
pmc_001388,PMC000xxxxxx/PMC529431.xml,27,1105,False,True,1,4
pmc_001389,PMC000xxxxxx/PMC529432.xml,7,734,False,True,1,3
pmc_001390,PMC000xxxxxx/PMC529433.xml,14,654,False,True,1,2
pmc_001391,PMC000xxxxxx/PMC529434.xml,62,2368,False,True,1,8
pmc_001392,PMC000xxxxxx/PMC529435.xml,517,4330,True,True,2,14
pmc_001393,PMC000xxxxxx/PMC529436.xml,362,4571,False,True,1,15
pmc_001394,PMC000xxxxxx/PMC529437.xml,205,4258,False,True,1,14
pmc_001395,PMC000xxxxxx/PMC529438.xml,468,2662,False,True,2,9
pmc_001396,PMC000xxxxxx/PMC529439.xml,387,6443,False,True,1,20
pmc_001397,PMC000xxxxxx/PMC529440.xml,655,7163,True,True,2,23
pmc_001398,PMC000xxxxxx/PMC529441.xml,331,4492,False,True,1,14
pmc_001399,PMC000xxxxxx/PMC529442.xml,285,7123,False,True,1,23
pmc_001400,PMC000xxxxxx/PMC529443.xml,375,6714,False,True,1,21
pmc_001401,PMC000xxxxxx/PMC529444.xml,239,3636,False,True,1,12
pmc_001402,PMC000xxxxxx/PMC529445.xml,274,4133,False,True,1,13
pmc_001403,PMC000xxxxxx/PMC529446.xml,466,3824,False,True,2,12
pmc_001404,PMC000xxxxxx/PMC529447.xml,318,4738,False,True,1,15
pmc_001405,PMC000xxxxxx/PMC529448.xml,432,4622,False,True,2,15
pmc_001406,PMC000xxxxxx/PMC529449.xml,406,2653,False,True,2,9
pmc_001407,PMC000xxxxxx/PMC529450.xml,571,4352,True,True,2,14
pmc_001408,PMC000xxxxxx/PMC529451.xml,476,10619,False,True,2,33
pmc_001409,PMC000xxxxxx/PMC529452.xml,234,1554,False,True,1,5
pmc_001410,PMC000xxxxxx/PMC529453.xml,455,7278,False,True,2,23
pmc_001411,PMC000xxxxxx/PMC529454.xml,300,2944,False,True,1,9
pmc_001412,PMC000xxxxxx/PMC529455.xml,206,6523,False,True,1,21
pmc_001413,PMC000xxxxxx/PMC529456.xml,431,9718,False,True,2,31
pmc_001414,PMC000xxxxxx/PMC529457.xml,722,8085,True,True,3,26
pmc_001415,PMC000xxxxxx/PMC529458.xml,27,594,False,True,1,2
pmc_001416,PMC000xxxxxx/PMC529459.xml,411,8264,False,True,2,26
